Date,Event (NC=Last Trading; C=Clearing; H=Holiday; T=Tradeday),Code,HSI,MHI,HKEXHSI,HHI,HSICALLCODE,HSIPUTCODE,HSICALLPATTERN,HSIPUTPATTERN
2009-03-11,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-12,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-13,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-14,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-15,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-16,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-17,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-18,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-19,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-20,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-21,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-22,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-23,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-24,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-25,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-26,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-27,T,H,HSIH9,MHIH9,0903,HHIH9,C9,O9,HSI<STRIKE>C9,HSI<STRIKE>O9
2009-03-28,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-29,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-03-30,NC,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-03-31,C,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-01,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-02,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-03,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-04,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-05,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-06,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-07,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-08,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-09,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-10,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-11,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-12,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-13,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-14,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-15,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-16,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-17,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-18,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-19,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-20,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-21,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-22,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-23,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-24,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-25,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-26,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-04-27,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-28,T,J,HSIJ9,MHIJ9,0904,HHIJ9,D9,P9,HSI<STRIKE>D9,HSI<STRIKE>P9
2009-04-29,NC,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-04-30,C,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-01,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-02,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-03,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-04,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-05,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-06,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-07,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-08,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-09,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-10,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-11,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-12,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-13,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-14,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-15,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-16,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-17,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-18,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-19,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-20,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-21,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-22,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-23,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-24,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-25,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-26,T,K,HSIK9,MHIK9,0905,HHIK9,E9,Q9,HSI<STRIKE>E9,HSI<STRIKE>Q9
2009-05-27,NC,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-05-28,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-29,C,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-05-30,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-05-31,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-06-01,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-02,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-03,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-04,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-05,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-06,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-06-07,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-06-08,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-09,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-10,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-11,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-12,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-13,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-06-14,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-06-15,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-16,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-17,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-18,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-19,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-20,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-06-21,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-06-22,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-23,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-24,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-25,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-26,T,M,HSIM9,MHIM9,0906,HHIM9,F9,R9,HSI<STRIKE>F9,HSI<STRIKE>R9
2009-06-27,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-06-28,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-06-29,NC,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-06-30,C,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-01,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-07-02,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-03,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-04,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-07-05,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-07-06,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-07,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-08,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-09,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-10,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-11,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-07-12,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-07-13,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-14,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-15,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-16,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-17,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-18,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-07-19,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-07-20,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-21,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-22,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-23,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-24,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-25,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-07-26,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-07-27,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-28,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-29,T,N,HSIN9,MHIN9,0907,HHIN9,G9,S9,HSI<STRIKE>G9,HSI<STRIKE>S9
2009-07-30,NC,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
2009-07-31,C,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
2009-08-01,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-08-02,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-08-03,T,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
2009-08-04,T,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
2009-08-05,T,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
2009-08-06,T,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
2009-08-07,T,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
2009-08-08,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-08-09,H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2009-08-10,T,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
2009-08-11,T,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
2009-08-12,T,Q,HSIQ9,MHIQ9,0908,HHIQ9,H9,T9,HSI<STRIKE>H9,HSI<STRIKE>T9
